Dependency=State	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	Option=Solar Thermal, 40 sqft, East, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, North, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Electric Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Fuel Oil Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Natural Gas Standard Backup	Option=Solar Thermal, 40 sqft, South, Roof Pitch, Propane Standard Backup	Option=Solar Thermal, 40 sqft, West, Roof Pitch, Electric Standard Backup	Option=Wood	source_count	source_weight	sampling_probability
ND	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	1.21264e-07
ND	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162487	0.593077	0.244436	0	0	0	0	0	0	0	0	18	17101.9	0.000125399
ND	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	1150.18	1.24928e-05
ND	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	9.31638e-07
NE	Electricity	0.005	0	0	0.0829157	0.851899	0.0601855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	254476	0.00235261
NE	Fuel Oil	0	0	0	0	0	0	0.285263	0.169796	0.54494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	9.27904e-07
NE	Natural Gas	0	0	0	0	0	0	0	0	0	0.15677	0.833392	0.00983769	0	0	0	0	0	0	0	0	0	0	0	0	126	493892	0.00346902
NE	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	9.90962e-08
NE	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0885494	0.798514	0.112936	0	0	0	0	0	0	0	0	96	16833.6	0.00025115
NE	Solar Thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227327	0.0246546	0.573234	0.00403585	0.00710105	0.0289493	0.134698	0	75	0	5.21605e-07
NE	Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	5.29107e-06
NH	Electricity	0.005	0	0	0.215042	0.719968	0.0599908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	204243	0.00187305
NH	Fuel Oil	0	0	0	0	0	0	0.37775	0.108005	0.514245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	119014	0.00117317
NH	Natural Gas	0	0	0	0	0	0	0	0	0	0.0486324	0.858048	0.0933195	0	0	0	0	0	0	0	0	0	0	0	0	36	119910	0.000811005
NH	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	3.32517e-06
NH	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172696	0.548517	0.278788	0	0	0	0	0	0	0	0	33	91855.1	0.000735999
